;Key_lvl1;Key_lvl2;Key_lvl3;Key_lvl4;Key_lvl5;Key_lvl6;Base Price 1 Target Value;Color;Size;Gender;Year of Commodity;Launch Date;Tag Price;Sales Season;Age Group;Cluster;Centroid
10;31C9999025602;31C999902_2;Female - One-piece pants inside - Thin 9 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;9.0;Black;Sheer;No Gender;2016;17/10/2016;9.0;Autumn;18-28;4;337861803_2
11;31C9999035602;31C999903_2;Female - One-piece pants inside - Thin 9 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;9.0;Black;Sheer;No Gender;2016;17/10/2016;9.0;Autumn;18-28;4;337861803_2
12;31C9999045602;31C999904_2;Female - One-piece pants inside - Thin - 49 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;49.0;Black;Sheer;No Gender;2017;15/09/2017;49.0;Autumn;29-38;5;331995285_2
13;31C9999055602;31C999905_2;Female - One-piece pants inside - Thin - 49 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;49.0;Black;Sheer;No Gender;2017;15/09/2017;49.0;Autumn;29-38;5;331995285_2
14;31C9999065602;31C999906_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Black;Sheer;No Gender;2017;15/08/2017;39.0;Autumn;18-28;5;331995285_2
15;31C9999075602;31C999907_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Black;Sheer;No Gender;2017;15/08/2017;39.0;Autumn;18-28;3;335057700_2
16;31C9999095602;31C999909_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Black;Sheer;No Gender;2017;15/08/2017;39.0;Autumn;29-38;3;335057700_2
17;31C9999108002;31C999910_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Natural;Sheer;No Gender;2017;24/09/2017;39.0;Autumn;29-38;2;31C002300_2
18;31C9999115602;31C999911_2;Female - One Internal Pants - Thin - $59;Female - One Internal Pants - Thin;Female - One-piece pants;Female;59.0;Black;Sheer;No Gender;2017;15/08/2017;59.0;Autumn;29-38;3;335057700_2
19;31C9999125602;31C999912_2;Female - One Internal Pants - Thin - $59;Female - One Internal Pants - Thin;Female - One-piece pants;Female;59.0;Black;Sheer;No Gender;2017;15/08/2017;59.0;Autumn;29-38;3;335057700_2
20;31C9999135602;31C999913_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Black;Sheer;No Gender;2017;24/09/2017;39.0;Autumn;29-38;9;335055900_2
21;31C9999145602;31C999914_2;Female - One Internal Pants - Thin - $59;Female - One Internal Pants - Thin;Female - One-piece pants;Female;59.0;Black;Sheer;No Gender;2017;13/09/2017;59.0;Autumn;29-38;3;335057700_2
22;3250014000000;325001400_2;Men - socks - stockings - 9 yuan;Men - Socks - Stockings;Male - socks;male;9.0;No Color;No Size;Male;2012;01/01/1900;9.0;Autumn;29-38;4;337861803_2
23;3250026000000;325002600_2;Men - Socks - Tube Socks - 10 RMB;Men - Socks - Stockings;Male - socks;male;10.0;No Color;No Size;Male;2012;01/01/1900;10.0;Autumn;29-38;6;335023300_2
24;3250261000000;325026100_2;Women - Socks - Invisible Socks - 3.5 RMB;Female - Socks - Invisible Socks;Female - socks;Female;4.0;No Color;No Size;Female;2012;01/01/1900;3.5;Autumn;29-38;8;336993004_2
25;3250269000000;325026900_2;Women - Socks - Invisible Socks - 3.5 RMB;Female - Socks - Invisible Socks;Female - socks;Female;4.0;No Color;No Size;Female;2012;01/01/1900;3.5;Autumn;29-38;13;332025400_2
26;3250270000000;325027000_2;Women - Socks - Invisible Socks - 3.5 RMB;Female - Socks - Invisible Socks;Female - socks;Female;4.0;No Color;No Size;Female;2012;01/01/1900;3.5;Autumn;29-38;13;332025400_2
27;3250287000000;325028700_2;Women - Socks - Invisible Socks - 12 yuan;Female - Socks - Invisible Socks;Female - socks;Female;12.0;No Color;No Size;Female;2012;01/01/1900;12.0;Autumn;29-38;13;332025400_2
28;3250288000000;325028800_2;Men - Socks - Tube Socks - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2012;01/01/1900;15.0;Autumn;29-38;3;335057700_2
29;3250291000000;325029100_2;Men - Socks - Stockings - $10;Men - Socks - Stockings;Male - socks;male;10.0;No Color;No Size;Male;2012;01/01/1900;10.0;Autumn;29-38;3;335057700_2
30;3250297000000;325029700_2;Men - Socks - Stockings - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2012;01/01/1900;15.0;Autumn;29-38;3;335057700_2
31;3250298000000;325029800_2;Men - Socks - Stockings - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2012;01/01/1900;15.0;Autumn;29-38;5;331995285_2
32;3250308000000;325030800_2;Women - Socks - Stockings - -8 yuan;Female - Socks - Stockings;Female - socks;Female;8.0;No Color;No Size;Female;2012;01/01/1900;8.0;Autumn;29-38;10;331800103_2
33;3250327000000;325032700_2;Men - Socks - Tube Socks - 10 RMB;Men - Socks - Stockings;Male - socks;male;10.0;No Color;No Size;Male;2012;01/01/1900;10.0;Autumn;29-38;13;332025400_2
34;3250330000000;325033000_2;Men - Socks - Tube Socks - 10 RMB;Men - Socks - Stockings;Male - socks;male;10.0;No Color;No Size;Male;2012;01/01/1900;10.0;Autumn;29-38;7;331052100_2
35;3250346000000;325034600_2;Women - Socks - Stockings - -8 yuan;Female - Socks - Stockings;Female - socks;Female;8.0;No Color;No Size;Female;2012;01/01/1900;8.0;Autumn;29-38;8;336993004_2
36;3250369000000;325036900_2;Women - Socks - Stockings - $3.5;Female - Socks - Stockings;Female - socks;Female;4.0;No Color;No Size;Female;2012;01/01/1900;3.5;Autumn;29-38;4;337861803_2
37;3250371000000;325037100_2;Women - Socks - Stockings - $3.5;Female - Socks - Stockings;Female - socks;Female;4.0;No Color;No Size;Female;2012;01/01/1900;3.5;Autumn;29-38;12;331023300_2
38;3250372000000;325037200_2;Women - Socks - Stockings - $3.5;Female - Socks - Stockings;Female - socks;Female;4.0;No Color;No Size;Female;2012;01/01/1900;3.5;Autumn;29-38;14;337002902_2
39;3250392010000;325039201_2;Men - Socks - Stockings - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2013;01/01/1900;15.0;Autumn;29-38;4;337861803_2
40;3250480060000;325048006_2;Men - Socks - Stockings - 4.8 RMB;Men - Socks - Stockings;Male - socks;male;5.0;No Color;No Size;Female;2014;03/09/2014;4.8;Autumn;29-38;7;331052100_2
41;3250498000000;325049800_2;Women - Socks - Stockings - $5;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2013;23/09/2013;5.0;Autumn;29-38;15;335030900_2
42;3250499000000;325049900_2;Women - Socks - Stockings - $5;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2013;23/09/2013;5.0;Autumn;29-38;4;337861803_2
43;3250502000000;325050200_2;Women - Socks - Stockings - $3.5;Female - Socks - Stockings;Female - socks;Female;4.0;No Color;No Size;Female;2013;03/09/2013;3.5;Autumn;29-38;10;331800103_2
44;3250504000000;325050400_2;Women - Socks - Stockings - $5;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2013;23/09/2013;5.0;Autumn;29-38;14;337002902_2
45;3250616030000;325061603_2;Women - Socks - Tube Socks - 19 yuan;Female - Socks - Stockings;Female - socks;Female;19.0;No Color;No Size;Female;2014;12/08/2014;19.0;Autumn;29-38;4;337861803_2
46;3250900160000;325090016_2;Boys - Socks - Stockings - $10;Boys - Socks - Stockings;Boys - Socks;Boy;10.0;No Color;No Size;Kid;2014;25/09/2014;10.0;Autumn;7-9;11;331032200_2
47;3270159000802;327015900_2;Female - One-piece pants inside - Thin - 12 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;12.0;Purplish Red;Sheer;Female;2013;06/08/2013;12.0;Autumn;29-38;12;331023300_2
48;3251184030000;325118403_2;Women - Socks - Stockings - $15;Female - Socks - Stockings;Female - socks;Female;15.0;No Color;No Size;Female;2014;12/09/2014;15.0;Autumn;29-38;14;337002902_2
49;3270189000802;327018900_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Purplish Red;Sheer;Female;2013;09/09/2013;39.0;Autumn;29-38;4;337861803_2
50;3270252000802;327025200_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2014;07/08/2014;29.0;Autumn;29-38;9;335055900_2
51;3270253003102;327025300_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Cyan;Sheer;Female;2014;29/07/2014;29.0;Autumn;29-38;14;337002902_2
52;3270255000802;327025500_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2015;29/07/2014;29.0;Autumn;29-38;13;332025400_2
53;3270258002602;327025800_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Green;Sheer;Female;2014;09/09/2014;29.0;Autumn;29-38;14;337002902_2
54;3270261000802;327026100_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2014;02/08/2014;29.0;Autumn;29-38;12;331023300_2
55;3270274000802;327027400_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2014;15/09/2014;29.0;Autumn;29-38;11;331032200_2
56;3270284005602;327028400_2;Female - One-piece pants inside - Thin 19 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;19.0;Black;Sheer;Female;2014;21/08/2014;19.0;Autumn;29-38;5;331995285_2
57;3270286002602;327028600_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Green;Sheer;Female;2014;21/08/2014;39.0;Autumn;29-38;11;331032200_2
58;3270306000802;327030600_2;Female - One-piece pants inside - Thin - $39;Female - One Internal Pants - Thin;Female - One-piece pants;Female;39.0;Purplish Red;Sheer;Female;2014;28/07/2014;39.0;Autumn;29-38;15;335030900_2
59;3260007005601;326000700_2;Women - Pantyhose - Core Wrap - 10 yuan;Female - Pantyhose - Core Wrap;Female - pantyhose;Female;10.0;Black;Ultra Sheer;Female;2015;01/08/2014;10.0;Autumn;18-28;7;331052100_2
60;3260008005601;326000800_2;Women - Pantyhose - Core Material - 19 yuan;Female - Pantyhose - Core Wrap;Female - pantyhose;Female;19.0;Black;Ultra Sheer;Female;2015;01/08/2014;19.0;Autumn;18-28;7;331052100_2
61;3260011005601;326001100_2;Women - Pantyhose - Core Material - 19 yuan;Female - Pantyhose - Core Wrap;Female - pantyhose;Female;19.0;Black;Ultra Sheer;Female;2015;01/08/2014;19.0;Autumn;18-28;7;331052100_2
62;3260012005601;326001200_2;Women - Pantyhose - Core Wrap - 10 yuan;Female - Pantyhose - Core Wrap;Female - pantyhose;Female;10.0;Black;Ultra Sheer;Female;2012;01/01/1900;10.0;Autumn;29-38;3;335057700_2
63;3260018005601;326001800_2;Women - Pantyhose - Velvet - 19 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;19.0;Black;Ultra Sheer;Female;2012;01/01/1900;19.0;Autumn;29-38;7;331052100_2
64;3260022005601;326002200_2;Women - Pantyhose - Core Material - 19 yuan;Female - Pantyhose - Core Wrap;Female - pantyhose;Female;19.0;Black;Ultra Sheer;Female;2015;01/08/2014;19.0;Autumn;18-28;7;331052100_2
65;3260027005601;326002700_2;Women - Pantyhose - Velvet - 15 RMB;Female - Pantyhose - Velvet;Female - pantyhose;Female;15.0;Black;Ultra Sheer;Female;2012;01/01/1900;15.0;Autumn;29-38;4;337861803_2
66;3260028005601;326002800_2;Women - Pantyhose - Core Wrap - 15 RMB;Female - Pantyhose - Core Wrap;Female - pantyhose;Female;15.0;Black;Ultra Sheer;Female;2012;01/01/1900;15.0;Autumn;29-38;8;336993004_2
67;3260033019000;326003301_2;Women - Pantyhose - Velvet - 19 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;19.0;Other;No Size;Female;2014;29/08/2014;19.0;Autumn;18-28;3;335057700_2
68;3270317000802;327031700_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2014;06/08/2014;29.0;Autumn;29-38;9;335055900_2
69;3270318000802;327031800_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2014;06/08/2014;29.0;Autumn;18-28;11;331032200_2
70;3270326000802;327032600_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2014;06/08/2014;29.0;Autumn;29-38;13;332025400_2
71;3270327000802;327032700_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2014;06/08/2014;29.0;Autumn;29-38;12;331023300_2
72;3270332000802;327033200_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2014;03/09/2014;29.0;Autumn;29-38;14;337002902_2
73;3270339003602;327033900_2;Female - One-piece pants inside - Thin 19 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;19.0;Blue;Sheer;Female;2014;24/09/2014;19.0;Autumn;29-38;12;331023300_2
74;3270344009002;327034400_2;Female - One-piece pants inside - Thin - 9.9 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;10.0;Other;Sheer;Female;2014;25/07/2014;9.9;Autumn;29-38;10;331800103_2
75;3270345000802;327034500_2;Female - One-piece pants inside - Thin - $29;Female - One Internal Pants - Thin;Female - One-piece pants;Female;29.0;Purplish Red;Sheer;Female;2014;05/09/2014;29.0;Autumn;29-38;5;331995285_2
76;3270346005602;327034600_2;Female - One-piece pants inside - Thin - 49 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;49.0;Black;Sheer;Female;2014;05/09/2014;49.0;Autumn;29-38;11;331032200_2
77;3270383009000;327038300_2;Female - One-piece pants inside - Thin - 10 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;10.0;Other;No Size;Female;2014;27/08/2014;10.0;Autumn;29-38;9;335055900_2
78;3270417009002;327041700_2;Female - One-piece pants inside - Thin - 7.9 yuan;Female - One Internal Pants - Thin;Female - One-piece pants;Female;8.0;Other;Sheer;Female;2014;24/09/2014;7.9;Autumn;29-38;3;335057700_2
79;3251356000000;325135600_2;Men - socks - stockings -12 yuan;Men - Socks - Stockings;Male - socks;male;12.0;No Color;No Size;Male;2014;19/08/2014;12.0;Autumn;29-38;1;331050900_2
80;3251357000000;325135700_2;Men - Socks - Tube Socks - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2014;19/08/2014;15.0;Autumn;29-38;12;331023300_2
81;3251358000000;325135800_2;Men - Socks - Tube Socks - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2014;19/08/2014;15.0;Autumn;29-38;1;331050900_2
82;3251361000000;325136100_2;Men - Socks - Tube Socks - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2014;19/08/2014;15.0;Autumn;29-38;3;335057700_2
83;3251376000000;325137600_2;Men - socks - stockings -12 yuan;Men - Socks - Stockings;Male - socks;male;12.0;No Color;No Size;Male;2014;22/08/2014;12.0;Autumn;29-38;7;331052100_2
84;3251378000000;325137800_2;Men - socks - stockings -12 yuan;Men - Socks - Stockings;Male - socks;male;12.0;No Color;No Size;Male;2014;22/08/2014;12.0;Autumn;29-38;7;331052100_2
85;3251379000000;325137900_2;Men - socks - stockings -12 yuan;Men - Socks - Stockings;Male - socks;male;12.0;No Color;No Size;Male;2014;22/08/2014;12.0;Autumn;29-38;5;331995285_2
86;3251381000000;325138100_2;Men - socks - stockings -12 yuan;Men - Socks - Stockings;Male - socks;male;12.0;No Color;No Size;Male;2014;22/08/2014;12.0;Autumn;29-38;7;331052100_2
87;3251382000000;325138200_2;Men - Socks - Tube Socks - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2014;19/08/2014;15.0;Autumn;29-38;7;331052100_2
88;3251387000000;325138700_2;Men - Socks - Tube Socks - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2014;02/09/2014;15.0;Autumn;29-38;7;331052100_2
89;3251388000000;325138800_2;Men - Socks - Tube Socks - $15;Men - Socks - Stockings;Male - socks;male;15.0;No Color;No Size;Male;2014;02/09/2014;15.0;Autumn;29-38;7;331052100_2
90;3251397000000;325139700_2;Women - Socks - Stockings - $5;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2014;25/08/2014;5.0;Autumn;29-38;12;331023300_2
91;3251405000000;325140500_2;Men - Socks - Tube Socks - 5 RMB;Men - Socks - Stockings;Male - socks;male;5.0;No Color;No Size;Male;2014;25/08/2014;5.0;Autumn;29-38;7;331052100_2
92;3251414000000;325141400_2;Women - Socks - Stockings - $5;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2014;25/08/2014;5.0;Autumn;29-38;13;332025400_2
93;3260039005601;326003900_2;Women - Pantyhose - Core Wrap - 15 RMB;Female - Pantyhose - Core Wrap;Female - pantyhose;Female;15.0;Black;Ultra Sheer;Female;2012;01/01/1900;15.0;Autumn;29-38;3;335057700_2
94;3260040005601;326004000_2;Women - Pantyhose - Core Material - 19 yuan;Female - Pantyhose - Core Wrap;Female - pantyhose;Female;19.0;Black;Ultra Sheer;Female;2015;01/08/2014;19.0;Autumn;18-28;7;331052100_2
95;3260047009002;326004700_2;Women - Pantyhose - Velvet - 19 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;19.0;Other;Sheer;Female;2014;15/07/2014;19.0;Autumn;29-38;10;331800103_2
96;3260048009002;326004800_2;Women - Pantyhose - Velvet - 19 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;19.0;Other;Sheer;Female;2014;15/07/2014;19.0;Autumn;29-38;11;331032200_2
97;3260049009002;326004900_2;Women - Pantyhose - Velvet - 19 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;19.0;Other;Sheer;Female;2014;15/07/2014;19.0;Autumn;29-38;12;331023300_2
98;3260051009002;326005100_2;Women - Pantyhose - Velvet - 19 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;19.0;Other;Sheer;Female;2014;15/07/2014;19.0;Autumn;29-38;1;331050900_2
99;3260056009002;326005600_2;Women - Pantyhose - Velvet - 19 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;19.0;Other;Sheer;Female;2014;15/07/2014;19.0;Autumn;29-38;10;331800103_2
100;3260056029000;326005602_2;Women - Pantyhose - Velvet - $35;Female - Pantyhose - Velvet;Female - pantyhose;Female;35.0;Other;No Size;Female;2014;28/08/2014;35.0;Autumn;29-38;9;335055900_2
101;3260057009002;326005700_2;Women - Pantyhose - Velvet - 19 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;19.0;Other;Sheer;Female;2014;15/07/2014;19.0;Autumn;29-38;10;331800103_2
102;3260058009002;326005800_2;Women - Pantyhose - Velvet - 19 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;19.0;Other;Sheer;Female;2014;15/07/2014;19.0;Autumn;29-38;3;335057700_2
103;3260069009002;326006900_2;Women - Pantyhose - Velvet - 19 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;19.0;Other;Sheer;Female;2014;15/07/2014;19.0;Autumn;29-38;10;331800103_2
104;3260078000803;326007800_2;Women - Pantyhose - Velvet - 29 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;29.0;Purplish Red;Thick;Female;2014;22/09/2014;29.0;Autumn;29-38;5;331995285_2
105;3260079005603;326007900_2;Women - Pantyhose - Velvet - 29 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;29.0;Black;Thick;Female;2014;03/09/2014;29.0;Autumn;29-38;5;331995285_2
106;3260083005603;326008300_2;Women - Pantyhose - Velvet - 29 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;29.0;Black;Thick;Female;2014;03/09/2014;29.0;Autumn;29-38;13;332025400_2
107;3260084005602;326008400_2;Women - Pantyhose - Core Wrap - 9 yuan;Female - Pantyhose - Core Wrap;Female - pantyhose;Female;9.0;Black;Sheer;Female;2014;15/07/2014;9.0;Autumn;29-38;12;331023300_2
108;3260088005602;326008800_2;Women - Pantyhose - Core Wrap - 9 yuan;Female - Pantyhose - Core Wrap;Female - pantyhose;Female;9.0;Black;Sheer;Female;2014;03/09/2014;9.0;Autumn;29-38;3;335057700_2
109;3260101009002;326010100_2;Women - Pantyhose - Core Wrap - 29 yuan;Female - Pantyhose - Core Wrap;Female - pantyhose;Female;29.0;Other;Sheer;Female;2015;26/08/2014;29.0;Autumn;29-38;7;331052100_2
110;3260102009002;326010200_2;Women - Pantyhose - Velvet - 9 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;9.0;Other;Sheer;Female;2014;26/09/2014;9.0;Autumn;29-38;14;337002902_2
111;3251447000000;325144700_2;Women - Socks - Tube Socks - 5 RMB;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2014;27/08/2014;5.0;Autumn;29-38;12;331023300_2
112;3251449000000;325144900_2;Women - Socks - Tube Socks - 5 RMB;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2014;27/08/2014;5.0;Autumn;29-38;13;332025400_2
113;3251466000000;325146600_2;Women - Socks - Tube Socks - 5 RMB;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2014;01/01/1900;5.0;Autumn;29-38;12;331023300_2
114;3251467000000;325146700_2;Women - Socks - Tube Socks - 5 RMB;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2014;01/01/1900;5.0;Autumn;29-38;14;337002902_2
115;3251469000000;325146900_2;Women - Socks - Tube Socks - 5 RMB;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2014;27/08/2014;5.0;Autumn;29-38;12;331023300_2
116;3251472000000;325147200_2;Women - Socks - Stockings - $5;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2014;15/08/2014;5.0;Autumn;29-38;12;331023300_2
117;3251473000000;325147300_2;Women - Socks - Stockings - $5;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2014;15/08/2014;5.0;Autumn;29-38;13;332025400_2
118;3251476000000;325147600_2;Women - Socks - Stockings - $5;Female - Socks - Stockings;Female - socks;Female;5.0;No Color;No Size;Female;2014;15/08/2014;5.0;Autumn;29-38;13;332025400_2
119;3251477000000;325147700_2;Men - Socks - Tube Socks - 5 RMB;Men - Socks - Stockings;Male - socks;male;5.0;No Color;No Size;Male;2014;15/08/2014;5.0;Autumn;29-38;11;331032200_2
120;3251478000000;325147800_2;Men - Socks - Tube Socks - 5 RMB;Men - Socks - Stockings;Male - socks;male;5.0;No Color;No Size;Male;2014;15/08/2014;5.0;Autumn;29-38;13;332025400_2
121;3251479000000;325147900_2;Men - Socks - Tube Socks - 5 RMB;Men - Socks - Stockings;Male - socks;male;5.0;No Color;No Size;Male;2014;15/08/2014;5.0;Autumn;29-38;11;331032200_2
122;3251516010000;325151601_2;Men - Socks - Tube Socks - 16 yuan;Men - Socks - Stockings;Male - socks;male;16.0;No Color;No Size;Male;2014;14/08/2014;16.0;Autumn;29-38;11;331032200_2
123;3254865009000;325486500_2;Men - Socks - Tube Socks - $15;Men - Socks - Stockings;Male - socks;male;15.0;Other;No Size;Male;2014;26/08/2014;15.0;Autumn;29-38;11;331032200_2
124;3255014039000;325501403_2;Men - Socks - Stockings - 12 yuan;Men - Socks - Stockings;Male - socks;male;12.0;Other;No Size;Male;2014;03/09/2014;12.0;Autumn;29-38;8;336993004_2
125;3255023019000;325502301_2;Men - Socks - Stockings - $15;Men - Socks - Stockings;Male - socks;male;15.0;Other;No Size;Male;2014;03/09/2014;15.0;Autumn;29-38;4;337861803_2
126;3260905009000;326090500_2;Women - Pantyhose - Velvet - 19 yuan;Female - Pantyhose - Velvet;Female - pantyhose;Female;19.0;Other;No Size;Female;2014;03/10/2014;19.0;Autumn;29-38;7;331052100_2
127;3251618030000;325161803_2;Men - socks - stockings - 19 yuan;Men - Socks - Stockings;Male - socks;male;19.0;No Color;No Size;Male;2014;12/08/2014;19.0;Autumn;29-38;10;331800103_2
128;3251620000000;325162000_2;Men - Socks - Tube Socks - 5 RMB;Men - Socks - Stockings;Male - socks;male;5.0;No Color;No Size;Male;2014;07/08/2014;5.0;Autumn;29-38;5;331995285_2
129;3251633000000;325163300_2;Men - Socks - Tube Socks - 5 RMB;Men - Socks - Stockings;Male - socks;male;5.0;No Color;No Size;Male;2014;07/08/2014;5.0;Autumn;29-38;12;331023300_2
